hey witch wat cha been up too,2,-2
"i was thinking... everyone is allways saying that they want racism to end and that all racist should burn in hell or something along that nature yet has anyone stopped to think that maybe people who are racist also want racism to end, they're just acting on there idea's instead of sitting on their a**'s all day. just a thought. i thought it was kind of ironic once i stopped to think about it.its realy kind of funny when you stop to think about it yourself",2,-3
omg my son has the same b-day as you lol,3,-1
hey whats up i havent talked to you in like forever,2,-2
hey kevin hope u are good and well miss ya dude,3,-1
"sup greg....how u been?... how..s the family?.....say hi to everyone for m, pleeez....o yea and can u tell my dee dee dee brother to add me to his friends or to at least pimp his profile up....and tell not to use excuses....thanx ----- ----- ----- lates ese",3,-2
my churchland homey waht it do,1,-1
"Hey Sis,, Great job on your profile,,Bet you cant wait to be a GGILTF,,,(laughing) Annie told me to say that.",4,-1
"yeah, we should totally enter the nag's like that, then we should dance like this!",3,-1
so every body knows this page is screwedd up and we cant get on to it so if you are trying to save wait until she gets another page.,1,-3
HEY U HAVE TWO FRIENDS!!,3,-1
HEY SEXY MAN I WAS JUST MISSING YOU AND WANTED TO SAT HI! CAN'T WAIT TILL FRIDAY TO GET YOU DRUNK AND TAKE ADVANTAGE!!!,5,-1
"Hey mom, How are you? We are great. I just thought that I would stop in and say HI... ----- Love ya ----- Gena",4,-1
Ya a regret giving my old z up. I just couldnt aford four quads. Of course that oic was taken before the race series. Ater the series it looked like shit!!,1,-4
wazz up prima ----- Damn its been a good while that i dont see u ----- well i just want 2 let you know IM STILL HERE ----- and that i miss you and i hope 2 see you soon ----- ----- ? & RESPECT L.A.: DR3AM3ER,3,-2
i do indeed hehe!! dnt c her as much as i used to tho cos shes with her new boyfriend aw th time :( a miss her!! lol u stil goin bout wi neil n th missus?? luv yooooooooo xoxoxoxoxox,4,-3
ERIC........ ----- Where have you been? I have needed some cousin time!! Call me sometime soon. Not today..I know that it's Ohio State and Michigan today so maybe tomorrow.,3,-2
"Congratulations!!! I am so happy for you and you are going to be an amazing dad!! Can you believe it, Daddy... Wow.. Please tell her mom congratulations too. ----- She is beautiful, ----- Amy",5,-1
"Hey gurlie, Just wanted 2 stop by and say HI how have u been? ----- Lisa (d's girl)",3,-1
"wut the hell you doin online at 3 am? O yea man isnt your bday today? Or was it a few days ago? or like a week ago. fuck it, what am I talkin about, im lost.",1,-3
Prayers going out to all the soldiers today. May God keep you all safe over there.,3,-1
Sup Vinson,1,-1
I've been going to school and working my butt off. I am glad to know that you are doing ok. Much Luv! ----- ~Swee' Pea~,3,-2
hey hey its will from school. ----- ----- Hows? uni hope ur enjoyin it 6th forms pretty cool but can't wait to go to uni if i go!!!! ----- ----- much love,4,-1
sorry. lol. It'll be okay,2,-2
HEY!!!!!!!!! Ive been trying to get ahold of you.......so what's new?!,3,-2
hey boo boo thanks for add me. ----- wot it the USA like?,2,-1
HEY GIRL!!! I HAVE NOT SEEN YOU IN ALONG TIME. HOW ARE YOU AND THE BABY.COME SEE ME I LIVE IN TOWN..,3,-2
Happy Birthday Chris...now go get trashed!,3,-1
i'll try if i can get a sitter.I'll let u know,1,-2
Why thank you Hans!,3,-1
dnt b a hater cuz we need some dick! and the toys aint wk n!!!,1,-3
